label,text
Influenza,"Since last night, I've had a bad cough and head pain. I am burning up with a fever, and it's painful to swallow. My muscles are sore, and the body aches are severe. The headache comes and goes, making it impossible to focus."
Measles,"It has been a rough week. I started feeling ill about four days ago with a persistent cough and a fever that spiked really high. My nose was dripping clear fluid continuously, and I had a horrible headache that felt like a tight band around my skull. I felt awful, but then this morning, things escalated when a red blotchy rash appeared on my face and hairline. Over the course of the day, the rash has spread downward, covering my neck, my chest, and all the way down my stomach."
Diarrhea,My stomach is killing me and I've been throwing up since last night. I also have watery diarrhea and feel totally drained of energy.
Dengue,"For 2 days I have been dealing with this horrific infection. I have an extremely high fever, basically burning up around the clock. My body is aching all over due to a severe generalized muscle pain. I have a deep pain situated behind my eyes that makes the room feel like it is spinning. My gums are bleeding whenever I try to eat anything solid. The joint pain is severe as well, making my knees and elbows ache so much that I can barely stand up."
Measles,"I have felt completely awful for the past four days. Initially, I had a high fever, a really bad cough, and constant sniffles that would not stop. My eyes have been extremely red and sore, and my throat has felt like I swallowed glass every time I try to eat or drink. I thought it was just a severe cold until yesterday morning when a red rash appeared right at my hairline. I kept an eye on it, and by this evening, the spots had spread downward, completely blanketing my neck and my chest area."
Typhoid,"I have had a persistent high fever for 9 days. My belly hurts and feels crampy, I have a constant headache, and I noticed flat red spots on my chest."
Dengue,"It started 3 days ago and has been a persistent nightmare. I have an extremely high temperature and I am burning up constantly. My body is aching all over, and this severe generalized muscle pain leaves me practically immobile. Yesterday, a maculopapular rash appeared on my back, presenting as tiny red speckles. My aching joints are a huge problem; the pain in my knees and elbows is quite severe. I also have a head pain that pounds in time with my heartbeat, making resting incredibly difficult."
Measles,"I came down with what I thought was a severe cold about five days ago. I had a persistent fever for days and a dry, hacking cough. My nose was dripping clear fluid constantly, and my eyes were super red and watery. While brushing my teeth, I even saw these tiny white spots on my inner cheeks that looked like grains of salt. I felt awful. Then, yesterday, a blotchy red rash started right on my face. By the time I woke up today, the spots had spread downward to cover my neck, arms, and torso."
Measles,First I had a very high temperature and a hacking cough. I've been feeling severe fatigue. Then my eyes became red and sore. Now I have a blotchy rash that started on my hairline and is moving down.
Diarrhea,Started 12 hours ago with a sudden urge. I went to the bathroom 6 times with very loose stools. The stomach cramps are moderate but constant.
Pneumonia,"My whole body aches and I feel cold all the time despite my fever. I've been coughing up thick yellow phlegm for three days, and there's a sharp pain in my chest."
Typhoid,"My fever has been getting higher every day for the last week. My stomach feels incredibly tender and sore, and I've been suffering from severe constipation since the fever started."
Influenza,"It started 2 days ago. I had a fever and was feeling hot and cold. I have a hacking cough that is constant. Everything hurts, as my body aches are quite bad. I feel wiped out and have no energy. I am also congested with a stuffy nose. I have been drinking plenty of fluids, getting as much sleep as possible, and hoping this moderate sickness passes soon so I can get back to my normal daily routine."
Measles,"I am feeling incredibly unwell after coming down with symptoms last week. First, I had a very high temperature, constant sniffles, and a persistent dry cough that completely wore me out. I tried to just sleep it off, but then a blotchy rash started on my face. Over the next couple of days, I was horrified to see the red spots spread down my body, reaching all the way to my legs. While trying to soothe my dry mouth, I also noticed several small white spots in my mouth located right on my inner cheeks."
Dengue,"These bizarre and painful symptoms have been lasting a week, completely draining my energy. I have an unbearable high temperature, and I am constantly burning up under my blankets. I am suffering from severe generalized muscle pain, with an intense ache in my back that simply will not stop. My head pain is constant and throbbing. I have been throwing up constantly. I noticed a faint red rash spreading across my chest area. Additionally, there is a very deep pain situated behind my eyes that makes looking at any bright lights extremely uncomfortable."
Diarrhea,Bloody diarrhea and intense pain in my stomach started suddenly. I feel warm and feverish.
Pneumonia,"I am completely exhausted and feverish. For a week, my chesty cough has been producing thick rusty mucus. Every time I cough, I get a sharp, stabbing pain deep in my chest."
Influenza,"I felt okay until it hit me suddenly this morning. I have a slight fever, just feeling a little hot and cold. I have a mild dry cough that is just a bit annoying. My body aches are slight, but my muscles are sore enough that I noticed. My throat hurts a little bit, mostly just a scratchy feeling. My nose is running, and I have the sniffles. I think it is just a mild bug that will be gone in a few days."
Diarrhea,"I've gone to the bathroom 8 times since waking up. The cramping is severe, and I feel extremely thirsty and lightheaded."
Influenza,For a few days I've been feeling hot and cold. I have a hacking cough and my muscles are sore. My head is killing me and I have a scratchy throat.
Diarrhea,My stomach is cramping and I have a mild headache. The loose stools have been happening all day.
Measles,"It started with a bad fever, a dry cough, a runny nose, and a sore throat a few days ago. Yesterday I noticed a blotchy rash that started on my face and has spread down my body."
Diarrhea,Started suddenly this afternoon. I have stomach cramps and I'm throwing up. I've also had diarrhea three times already.
Dengue,"I have been feeling absolutely terrible since yesterday morning when this all began. It started with an extremely high fever, and I am just burning up continuously. Along with the severe temperature, my body is aching all over with this intense ache in my back and severe generalized muscle pain. Worryingly, my gums are bleeding quite a bit today. I am suffering from a persistent headache and a pounding head. I have persistent aching joints making it hard to walk. It is severe and I am struggling to cope with it. I have never felt this sick before, and I just want to recover."
Dengue,"My health has deteriorated rapidly since yesterday afternoon. I am highly febrile, experiencing an extremely high fever and burning up. My body is aching all over due to severe generalized muscle pain that makes resting uncomfortable. There is also a terrible pain behind my eyes that flares up when I try to read. I also had a spontaneous nosebleed last night. The joint pain is severe, especially in my knees, making it very hard for me to get up from the sofa and walk around the house."
Measles,"For the past five days, I have been dealing with a soaring high fever and a hacking cough that leaves me gasping. Add to that a totally runny nose and intensely red, watery eyes that hate the sunlight, and I have been basically bedridden. The fever and cough were the first things to hit me. Then, just two days ago, a weird blotchy rash started showing up. It originated right around my hairline and on my face, and over the course of a day, it completely spread downward to blanket my chest and lower body in red spots."
Dengue,"Since yesterday, I have been trapped in a nightmare. I have an extremely high fever and feel like I am burning up. My body is aching all over with severe generalized muscle pain. I have a splitting headache that will not stop. There is deep pain situated behind my eyes that hurts when I look around. My aching joints are throbbing, especially the joint pain in my knees. I am also dealing with extreme fatigue, leaving me entirely bedbound. The sheer amount of pain across my whole body is simply unbearable."
Pneumonia,"I'm feeling very hot and sweaty, and I'm shivering with chills. The worst part is this chesty cough producing yellow slime, and my chest hurts badly whenever I cough."
Typhoid,"I have a fever that won't break for 12 days. I have diarrhea, I am totally exhausted, and I noticed rose-colored spots on my stomach."
Measles,"It started about a week ago with just a very high temperature and a stubborn, persistent cough that made it hard to catch my breath. Along with that, my nose was dripping clear fluid non-stop, and I had what looked like pink eye, with my eyes being extremely red and sensitive to light. After three straight days of the fever and coughing, things got worse. A red splotchy rash broke out right on my face and ears. It did not stay there, though; it quickly spread downward, and now my entire torso and arms are covered in these red spots."
Measles,"I have had a high fever and a dry cough for days, plus extreme fatigue. My nose is running. The fever came first, and now a blotchy rash began on my face and is spreading downward."
Influenza,"For 3 days I've felt febrile. I have a bad cough and everything hurts. I am congested, and having bouts of nausea and vomiting. It is moderate, comes and goes."
Typhoid,"I've been dealing with a fever that gets worse each day for a week. I have loose stools, a dull headache, and I feel very tired."
Diarrhea,I've had a headache and stomach cramps since waking up today. I've used the toilet for loose stools 5 times and I feel pretty weak.
Typhoid,"My main concern is a fever that won't break for over a week. My belly hurts uncomfortably, my mind is completely foggy, and I have absolutely no energy."
Dengue,"For 2 days, I have felt completely miserable. I have a severe temperature, and my skin is burning up to the touch. My body is aching all over with severe generalized muscle pain. I am suffering from a pounding head that refuses to ease up, no matter what I do. Yesterday, I suddenly had a nosebleed, which was very alarming since I never get them. I am trying to rest in a dark, quiet room, but the throbbing pain in my head and muscles makes it incredibly difficult to find any real comfort."
Dengue,"For 2 days, I have been locked in my bedroom trying to recover. I have an extremely high fever and I am burning up, feeling hot to the touch all over. There is an intense ache in my back and severe muscle pain that is simply punishing. I have a splitting headache that makes any light intolerable. Furthermore, there is a deep pain situated behind my eyes that hurts so much when I try to read. I have been drinking broth but it barely helps me feel any better."
Influenza,"This began 2 days ago. I was feeling hot and cold with a slight fever. I have a dry cough that comes and goes. My body aches are mild, and my muscles are only slightly sore. I have a scratchy throat and a stuffy nose. I have been drinking plenty of fluids, getting as much sleep as possible, and hoping this mild cold passes soon so I can get back to my normal daily routine and breathe much more easily."
Measles,"About a week ago, I started feeling absolutely terrible. I developed a very high temperature out of nowhere, accompanied by a dry, hacking cough that kept me awake all night long. I genuinely thought I had caught a severe strain of the flu from my office, so I spent days resting in bed and drinking lots of fluids. During that time, my nose was dripping clear fluid constantly, making me go through boxes of tissues. Then, about three days after the fever initially started, I noticed a blotchy red rash breaking out right along my hairline and behind my ears. By the next afternoon, those spots had spread downward, completely covering my neck, chest, and arms."
Influenza,"It hit me suddenly this morning. I have a temperature, a bad cough, and my throat hurts. My body aches are constant, and I am feeling weak and wiped out. Just a moderate illness."
Diarrhea,"For the last 12 hours, I've had watery diarrhea. My stomach is cramping, and I have a dry mouth from dehydration."
Typhoid,"My main problem is this persistent high fever that just gets worse each day. It started a week ago, and now I also have a dull headache, extreme weakness, and my stomach feels really tender and crampy."
Pneumonia,"Over the past week, I've had non-stop chills, a high temperature, and extreme fatigue. I am constantly coughing up rusty phlegm and gasping for air whenever I try to do anything active."
Measles,I am burning up with a high fever and a hacking cough. My eyes are red and watering. A rash started on my hairline and is moving down my body. I'm experiencing severe muscle pain and extreme fatigue.
Dengue,"I have been feeling completely terrible since yesterday afternoon. I developed a very high temperature out of nowhere, and I am burning up constantly. My whole body is aching all over, with severe generalized muscle pain that makes resting uncomfortable. I had a nosebleed earlier today, which really scared me because that never happens. I am also extremely exhausted and dealing with severe fatigue; I have zero energy to do anything. My partner suggested I should go see a doctor soon because this has been one of my worst experiences."
Measles,"My partner has been bedridden since Sunday. He developed a fever for days and a really bad cough that kept us both awake. His eyes were intensely red and sensitive to light, and he had a constant runny nose. He was absolutely exhausted, complaining of deep fatigue. We thought it was just the flu until a red rash appeared on his face yesterday. We watched in disbelief as the rash began spreading downward over the next few hours, completely coating his neck, chest, and stomach with angry red spots."
Influenza,For 3 days I've been burning up. I have a hacking cough and body aches that are quite bad. It's painful to swallow and I feel wiped out. I just can't seem to shake this illness.
Measles,"My eyes are red and I can't stand light. I've got a high fever, a constant cough, and a rash that began on my ears spreading downward. I'm fatigued with body aches, but there are no bleeding gums or nosebleeds to report."
Diarrhea,I can't keep anything down. I've been vomiting and having diarrhea since breakfast. My stomach muscles hurt from the cramping.
Pneumonia,"I am burning up with fever and have severe body aches. For five days, I've had difficulty breathing and a nasty chesty cough. I keep coughing up lots of gross yellow mucus."
Influenza,"This started 2 days ago after an outdoor event. I developed a sudden high fever and was burning up. I have a persistent dry cough that is quite bad. The body aches are intense; my muscles are sore and everything hurts. I also have severe chills, shivering even with a temperature. Furthermore, I have terrible nausea and feel sick to my stomach. The discomfort is constant, so I am going to stay in bed and rest for a few days."
Pneumonia,"Gasping for air has become my normal, along with a high fever and sweating. My stomach hurts constantly, and I am plagued by a wet chesty cough that brings up dark green mucus every single hour."
Influenza,"I have been sick for 3 days now. It began with feeling hot and cold, and a sudden high fever. I have a bad cough that is worse at night. The body aches are severe; everything hurts immensely. Unfortunately, I also experienced some vomiting this morning, which left me feeling completely drained. It is a severe bout of illness, and I have been entirely bedridden. I am trying to sip small amounts of water to stay hydrated and praying this intense viral bug passes very soon."
Influenza,"Since last night I have a temperature and a dry cough. My muscles are sore. I have a stuffy nose, along with nausea and vomiting. It is severe and constant."
Dengue,"The sickness has been lasting a week, and I am emotionally drained. I have a persistent high temperature, burning up and shivering simultaneously. My body is aching all over, and the severe generalized muscle pain is awful. I have a splitting headache that pounds with every step I take. I observed a maculopapular rash covering my thighs this morning. I am entirely fatigued and have absolutely no energy to maintain my household. I really thought I would be feeling somewhat better by now, but it is just lingering."
Dengue,"I have been fighting this for two days, and it is quite bad. My fever is extremely high, and I feel like I am literally burning up from the inside. I am dealing with severe generalized muscle pain; my whole body is aching all over without any relief. My aching joints are incredibly stiff, causing me a lot of grief. I have a terrible headache that throbs constantly. The most concerning part is that I had a nosebleed this morning, and my gums are bleeding slightly."
Pneumonia,I am completely wiped out with a bad fever. My chest hurts with a sharp pain when I cough. It's a really deep wet cough that keeps bringing up this awful rusty colored stuff.
Typhoid,"I've been running a fever for 9 days that just gets worse each day. I have constant watery bowel movements, don't want to eat, and noticed rose-colored spots on my stomach."
Dengue,"The onset was very sudden, hitting me right in the middle of my afternoon shift. I have an unbelievably high fever, and I am burning up so badly that I had to take off my sweater. My body is aching all over with severe generalized muscle pain that makes me want to cry. I am profoundly exhausted and cannot keep my eyes open. My joints are stiff, and I have terrible pain in my knees and elbows. Just this morning, I discovered tiny red speckles all over my stomach and back. I have been stuck in bed unable to do anything around the house."
Pneumonia,"I'm so tired I can't leave bed, and I have a fever. My cough is chesty, pulling up yellow mucus. There's a persistent sharp pain in my chest that started 3 days ago."
Measles,"Initially I got a fever, a runny nose, and a hacking cough. I also had white spots on my inner cheeks. Then yesterday a red rash broke out behind my ears and spread down my torso."
Diarrhea,I've been to the toilet 7 times since yesterday with watery stools. The cramping is severe and I feel dehydrated and thirsty.
Measles,"This ordeal started last Thursday when I suddenly developed a very high temperature and a terrible dry cough. I was also battling a miserable headache that simply would not go away with medication, and my nose was constantly running with clear fluid. I was feeling awful for a couple of days before a blotchy red rash broke out. It started right at my hairline and face. Since yesterday, the spots have rapidly spread downward, completely covering my stomach and my sides, leaving me feeling very anxious about my health."
Pneumonia,"My body aches and I have a high temperature. Over the last few days, I've been coughing up green mucus and feeling extremely breathless even when I'm resting."
Dengue,"My symptoms started two days ago and they have been quite persistent. I have a really high temperature, and I am burning up constantly. Along with the fever, there is this severe generalized muscle pain—my body is aching all over, especially my back and legs. I am also fighting off a pounding head that refuses to fade. The most unusual part is this intense pain behind my eyes whenever I shift my gaze. I am also experiencing heavy fatigue, feeling completely drained of all my normal energy."
Dengue,"I feel totally wiped out and my stomach hurts a bit. My thermometer reads 104.4°F. I experienced a sudden nosebleed, and the severe generalized muscle pain is throbbing through my entire body relentlessly."
Typhoid,"This high temperature for days keeps escalating. My abdomen is tender, I am feeling totally exhausted, and I keep getting confused about my surroundings."
Influenza,"Feeling hot and cold for a few days. I'm completely wiped out and tired all the time. Severe body aches keep me in bed, and my racking cough is terrible. It's extreme and I just want to sleep."
Typhoid,"My fever keeps climbing steadily over the past 5 days. I have watery bowel movements, I'm feeling disoriented, and I have a persistent dry cough."
Pneumonia,"I have been running a high temperature for three days and I have a terrible wet cough that brings up green mucus. I feel a sharp, stabbing pain in my ribs every time I try to take a deep breath."
Pneumonia,"Over the last few days, I developed severe body aches, a high fever, and I am very tired. The wet cough keeps bringing up yellow mucus, leaving me gasping for air constantly."
Measles,"I fell sick over the weekend with a high fever, a hacking cough, and a constant runny nose that soaked all my tissues. I was complaining of an awful headache and spent most of the time sleeping in my bed. Yesterday morning, a flat red rash started on my face and behind my ears. By last night, I could see the rash spreading downward, fully covering my neck and moving onto my chest. I am so miserable, and I have never seen a rash behave exactly like this before. I am calling the clinic right now."
Diarrhea,Red streaks in stool and severe cramping. Started last night. I feel dizzy and thirsty.
Typhoid,"For over a week, I've had a fever that won't break and just gets worse each day. I haven't gone to the bathroom in days, I have no appetite, and I noticed small pink spots on my stomach."
Diarrhea,"Since this morning, I've had a sudden urge to use the bathroom 6 times. It is watery diarrhea. My stomach cramps are severe and I feel very thirsty."
Influenza,"It hit me suddenly while reading a book. I began burning up with a temperature. I also have a dry cough that is persistent. Everything hurts, as my body aches are quite bad. Additionally, my throat hurts and it is painful to swallow. I have a pounding headache as well. I have been resting in bed for a few days, drinking warm liquids to soothe my throat. This moderate flu is quite annoying, but I am confident it will resolve soon if I keep resting."
Pneumonia,"I am completely wiped of energy, shivering, and running a fever for a week. This racking wet cough brings up green phlegm non-stop, and I get out of breath just trying to put my clothes on."
Diarrhea,"I have a slight headache and my stomach is twisting. Since yesterday, I've had loose bowel movements multiple times."
Pneumonia,"My body aches terribly and my temperature is through the roof with chills. I'm hacking up yellow phlegm and my breathing is extremely fast and shallow. I don't have a runny nose, but I feel absolutely awful."
Measles,"About five days ago, I started running a really high temperature and got a bad, persistent cough. My eyes got super red and sensitive to light, and I had this horrible headache that made my whole skull throb. I even noticed some weird small white spots in my mouth on the inside of my cheeks. I felt completely terrible. Then, just yesterday, a red rash started on my face and behind my ears. By this morning, the rash had spread downward, covering my neck, chest, and the upper part of my stomach."
Measles,"I developed a fever and a dry, hacking cough a few days back. I've also had bad diarrhea. Then my eyes got sore and watery. Just this morning, a blotchy rash started on my face and spread down my neck to my chest."
Typhoid,"My main complaint is a fever that hasn't gone away for a week. I'm having watery bowel movements, my pulse feels oddly slow, and I keep getting sudden chills."
Dengue,"For 2 days I have been battling this severe virus. I have an extremely high fever and I am just burning up non-stop. My body is aching all over with a severe generalized muscle pain that makes moving torturous. I have a splitting headache that echoes in my ears. I spotted a faint red rash on my arms this morning. Additionally, I feel very nauseous and sick to my stomach, making the mere thought of eating completely abhorrent to me right now."
Dengue,"This has been persistent since yesterday morning. I suddenly came down with an extremely high fever and I have been burning up with a severe temperature. It feels like my body is aching all over due to the intense ache in my back and severe muscle pain. My joints are stiff, and I have aching joints all over. I had a sudden nosebleed last night, which was scary. Today, I also noticed a faint red rash with tiny red speckles spreading rapidly across my chest and abdomen."
Measles,"Started earlier this week with a high fever, sniffles, and a dry hacking cough. I saw white spots on my inner cheeks like grains of salt. Now there is a red rash starting on my face and spreading down."
Influenza,Started 2 days ago with feeling hot and cold. I have a hacking cough and my muscles are sore. My pounding headache is worse at night. It is just a slight overall discomfort really.
Diarrhea,I have had bloody diarrhea 3 times since yesterday afternoon. The abdominal cramping is sharp. I feel dizzy and lightheaded.
Measles,"I started feeling awful over the weekend. I had a severe high fever, a persistent hacking cough, and a really bad headache that ibuprofen wouldn't even touch. My nose was also constantly runny, making me blow it every five minutes. Then yesterday, I was shocked to see a red blotchy rash starting on my face and near my hairline. Today, the rash is aggressively spreading downward, and it has already covered my entire neck and my chest. I am really worried because I have never had a rash spread this fast before in my entire life, and I feel dreadful."
Dengue,"I am dealing with a stomachache and a 103.2°F fever. I noticed petechiae on my forearms this afternoon. The severe generalized muscle pain is relentless, making every joint and muscle feel completely crushed."
